Cross_ID	Entry	Awns	WDR	flowering	Powdery_mildew	SNB	Location	Height	days_to_head
UX1995	UX1995-140	+	3	4/5/2022	1		Kinston	90	158
UX1995	UX1995-172	+	2	4/11/2022	1		Kinston	85	164
Parent	GA00190-7A14	+	3	4/8/2022			Kinston	80	161
UX1995	UX1995-200	+	1	4/16/2022	2		Kinston	75	169
UX1995	UX1995-201	+	2	4/10/2022	1		Kinston	85	163
UX1995	UX1995-159	+	2	4/12/2022	3		Kinston	85	165
UX1995	UX1995-141	+	2	4/13/2022	1		Kinston	75	166
UX1995	UX1995-1	-	3	4/4/2022	1		Kinston	80	157
UX1995	UX1995-208	-	4	3/28/2022	1		Kinston	90	150
UX1995	UX1995-54	+	4	3/27/2022	2		Kinston	95	149
UX1995	UX1995-167	-	2	4/13/2022	4		Kinston	90	166
UX1995	UX1995-204	*	3	4/2/2022	2		Kinston	95	155
UX1995	UX1995-91	+	2	4/15/2022	4		Kinston	90	168
Parent	LA09264C-P2	+	4	3/28/2022	4		Kinston	90	150
UX1995	UX1995-180	+	2	4/14/2022	1		Kinston	95	167
UX1995	UX1995-213	-	2	4/14/2022	1		Kinston	85	167
UX1995	UX1995-99	-	3	4/1/2022	0		Kinston	90	154
UX1995	UX1995-65	+	2	4/9/2022	1		Kinston	90	162
Parent	TX12D4896	+	3	4/6/2022	3		Kinston	90	159
UX1995	UX1995-196	+	1	4/10/2022	4		Kinston	75	163
UX1995	UX1995-42	-	3	3/30/2022	1		Kinston	80	152
Parent	Hilliard	+	2	4/11/2022	1		Kinston	90	164
UX1995	UX1995-22	+	4	4/3/2022	2		Kinston	90	156
UX1995	UX1995-181	+	4	4/1/2022	4		Kinston	85	154
UX1995	UX1995-153	-	4	3/26/2022	3		Kinston	75	148
UX1995	UX1995-132	-	2	4/12/2022	2		Kinston	85	165
UX1995	UX1995-135	+	1	4/13/2022	0		Kinston	75	166
UX1995	UX1995-131	+	3	3/27/2022	4		Kinston	70	149
Parent	GA05450-EL52	+	2	4/2/2022	2		Kinston	85	155
UX1995	UX1995-174	-	2	4/14/2022	1		Kinston	80	167
UX1995	UX1995-151	-	1	4/8/2022	4		Kinston	85	161
Parent	AGS2000	+	2	4/2/2022	2		Kinston	95	155
UX1995	UX1995-214	-	1	4/14/2022	1		Kinston	75	167
UX1995	UX1995-23	+	1	4/11/2022	0		Kinston	100	164
UX1995	UX1995-179	-	1	4/14/2022	2		Kinston	85	167
UX1995	UX1995-113	-	1	4/12/2022	3		Kinston	95	165
UX1995	UX1995-170	-	1	4/14/2022	3		Kinston	80	167
UX1995	UX1995-671	+	2	4/6/2022	2		Kinston	80	159
UX1995	UX1995-184	+	3	3/28/2022	1		Kinston	60	150
UX1995	UX1995-130	+	2	4/12/2022	1		Kinston	85	165
UX1995	UX1995-182	+	2	4/7/2022	2		Kinston	90	160
Parent	NC8248-1	+	3	4/2/2022	1		Kinston	85	155
UX1994	UX1994-150	-	2	4/9/2022	0		Kinston	85	162
UX1994	UX1994-153	+	2	4/11/2022	0		Kinston	90	164
UX1994	UX1994-188	+	2	4/13/2022	0		Kinston	85	166
UX1994	UX1994-61	-	3	4/4/2022	0		Kinston	85	157
Parent	SS8641	-	3	4/8/2022	0		Kinston	95	161
UX1994	UX1994-50	+	2	4/12/2022	0		Kinston	90	165
UX1994	UX1994-93	+	2	4/10/2022	0		Kinston	95	163
UX1994	UX1994-139	+	2	4/11/2022	1		Kinston	85	164
UX1994	UX1994-140	+	3	4/9/2022	0		Kinston	90	162
UX1994	UX1994-173	+	2	4/12/2022	1		Kinston	85	165
UX1994	UX1994-155	-	2	4/12/2022	0		Kinston	95	165
UX1994	UX1994-113	+	2	4/13/2022	0		Kinston	90	166
UX1994	UX1994-208	-	2	4/13/2022	0		Kinston	90	166
UX1994	UX1994-181	+	2	4/10/2022	0		Kinston	95	163
